Change Component Comment : Designator=C8 Old Comment=47uF New Comment=47pF
Change component parameters: Designator = "C6"; Footprint = "1608[0603]"; UniqueID = "\KGOOGJSO"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "1206"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "3216"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Distributor"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Distributor_Pn"; Value = "81-GRM188R71H473KA61"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1.9 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mfr"; Value = "Murata"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mfr_Pn"; Value = "GRM188R71H473KA61D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "10 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "47nF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C8"; Footprint = "CAPC0603(1608)100_M"; UniqueID = "\TQJWFSDN"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Distributor"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Distributor_Pn"; Value = "603-C0603FRNPO9BN470"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Thickness"; Value = "1 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mfr"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mfr_Pn"; Value = "C0603FRNPO9BN470"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "25 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±0.5pF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "NPO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "47pF"; VariantName = "[No Variations]"
